Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;Dept SAC;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;Observacions
Fundació Carles Pi i Sunyer, d’Estudis Autonòmics i LocalsAdministració de la Generalitat de CatalunyaDirector de l'Escola d'Administració Pública de Catalunya;Fundació Carles Pi i Sunyer, d’Estudis Autonòmics i Locals;PRE - Departament de la Presidència;Administració de la Generalitat de Catalunya;Patró;Departament de la Presidència;Director de l'Escola d'Administració Pública de Catalunya;;592;;
Fundació Privada Aula d'Alts Estudis d'ElectesEscola d'Administració Pública de CatalunyaDirector de l'Escola d'Administració Pública de Catalunya;Fundació Privada Aula d'Alts Estudis d'Electes;PRE - Departament de la Presidència;Escola d'Administració Pública de Catalunya;Vocal;Departament de la Presidència;Director de l'Escola d'Administració Pública de Catalunya;;592;;
Biocat, la Fundació BioRegió de CatalunyaEl/la titular del Departament competent en matèria de salutConseller/a de Salut;Biocat, la Fundació BioRegió de Catalunya;SLT - Departament de Salut;El/la titular del Departament competent en matèria de salut;Vicepresident/a primer;Departament de Salut;Conseller/a de Salut;;2803;;
Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i GurinaDirector/a Gerent de l'Institut Català de la Salut;Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i Gurina;SLT - Departament de Salut;Director/a Gerent de l'Institut Català de la Salut;Vicepresident/a primer;Departament de Salut;;;3062;;
Fundació REGOAdministració de la Generalitat de CatalunyaDirectora general de Transports i Mobilitat;Fundació REGO;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;President/a;Departament de Territori, Habitatge i Transició Ecològica;Directora general de Transports i Mobilitat;;3520;;
Biocat, la Fundació BioRegió de CatalunyaEl/la titular del Departament competent en matèria d'alimentació i indústries agroalimentàriesConseller/a d'Agricultura, Ramaderia, Pesca i Alimentació;Biocat, la Fundació BioRegió de Catalunya;SLT - Departament de Salut;El/la titular del Departament competent en matèria d'alimentació i indústries agroalimentàries;Vocal;Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Conseller/a d'Agricultura, Ramaderia, Pesca i Alimentació;;4163;;
Fundació Fòrum Universal de les CulturesGeneralitat de Catalunya representada pel seu PresidentPresident de la Generalitat de Catalunya;Fundació Fòrum Universal de les Cultures;PRE - Departament de la Presidència;Generalitat de Catalunya representada pel seu President;Vocal;President de la Generalitat;President de la Generalitat de Catalunya;;15006;;
Fundació Observatori de l'EbreInstitut Cartogràfic i Geològic de Catalunya, representat per la persona que designi el seu C.RectorDirector de l'Institut Cartogràfic i Geològic de Catalunya;Fundació Observatori de l'Ebre;REU - Departament de Recerca i Universitats;Institut Cartogràfic i Geològic de Catalunya, representat per la persona que designi el seu C.Rector;Patró;Departament de Territori, Habitatge i Transició Ecològica;Director de l'Institut Cartogràfic i Geològic de Catalunya;;19281;Institut Cartogràfic i Geològic de Catalunya;
Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC)Consellers de territo, habitatge, infraestr, sostenibilitat, patrimoni, coneix i empresa, fins 4 maxConseller/a d'Empresa i Treball;Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC);TER - Departament de Territori, Habitatge i Transició Ecològica;Consellers de territo, habitatge, infraestr, sostenibilitat, patrimoni, coneix i empresa, fins 4 max;Patró;Departament d'Empresa i Treball;Conseller/a d'Empresa i Treball;;19775;;
Barcelona Graduate School of Economics, Fundació PrivadaFins a 9 patrons d'institucions o empreses que donin suport a la FundacióSecretari General d'Economia i Hisenda;Barcelona Graduate School of Economics, Fundació Privada;REU - Departament de Recerca i Universitats;Fins a 9 patrons d'institucions o empreses que donin suport a la Fundació;Vocal;Departament d'Economia i Finances;Secretari General d'Economia i Hisenda;;19777;Govern de la Generalitat de Catalunya;
Biocat, la Fundació BioRegió de CatalunyaEl/la titular del Departament competent en matèria de recercaConseller/a de Recerca i Universitats;Biocat, la Fundació BioRegió de Catalunya;SLT - Departament de Salut;El/la titular del Departament competent en matèria de recerca;Vocal;Departament de Recerca i Universitats;Conseller/a de Recerca i Universitats;;21648;;
